Volcano Number,Volcano Name,Eruption Number,Start Year,Start Month,Latitude,Longitude
390090,Saunders,13220,2005,10,-57.8,-26.483
221113,Dabbahu,13942,2005,9,12.595,40.48
312070,Veniaminof,20176,2005,9,56.17,-159.38
273030,Mayon,16815,2005,8,13.257,123.685
334050,Northern EPR at 9.8¡N,10346,2005,8,9.83,-104.3
344120,Concepcion,11073,2005,7,11.538,-85.622
234011,McDonald Islands,14399,2005,7,-53.03,72.6
284130,Fukutoku-Oka-no-Ba,18467,2005,7,24.285,141.481
343020,Santa Ana,10768,2005,6,13.853,-89.63
260010,Barren Island,15386,2005,5,12.278,93.858
353010,Fernandina,11676,2005,5,-0.37,-91.55
355100,Lascar,11877,2005,5,-23.37,-67.73
252010,Langila,15001,2005,4,-5.525,148.42
266030,Soputan,16437,2005,4,1.112,124.737
233010,Karthala,14205,2005,4,-11.75,43.38
360050,Soufriere Hills,12348,2005,4,16.72,-62.18
282110,Asosan,17350,2005,4,32.884,131.104
284040,Miyakejima,18276,2005,4,34.094,139.526
261160,Talang,15496,2005,4,-0.979,100.681
252120,Ulawun,15073,2005,3,-5.05,151.33
311240,Cleveland,19817,2005,3,52.825,-169.944
290360,Chikurachki,18857,2005,3,50.324,155.461
344100,Masaya,11040,2005,3,11.984,-86.161
242050,Monowai,14721,2005,3,-25.887,-177.188
311161,Korovin,19767,2005,2,52.381,-174.166
233020,"Fournaise, Piton de la",14386,2005,2,-21.244,55.708
264160,Egon,16277,2005,2,-8.676,122.455
257050,Lopevi,15320,2005,1,-16.507,168.346
290380,Ebeko,18877,2005,1,50.686,156.014
252140,Rabaul,15099,2005,1,-4.271,152.203
272020,Kanlaon,16749,2005,1,10.412,123.132
300260,Klyuchevskoy,19482,2005,1,56.056,160.642
341090,Popocatepetl,10556,2005,1,19.023,-98.622
312070,Veniaminof,20175,2005,1,56.17,-159.38
344020,San Cristobal,10891,2004,12,12.702,-87.004
284040,Miyakejima,18275,2004,11,34.094,139.526
252010,Langila,15000,2004,11,-5.525,148.42
352010,Reventador,11447,2004,11,-0.077,-77.656
344040,Telica,10938,2004,11,12.606,-86.84
373010,Grimsvotn,12842,2004,11,64.416,-17.316
251020,Manam,14934,2004,10,-4.08,145.037
282030,Suwanosejima,16947,2004,10,29.638,129.714
266030,Soputan,16436,2004,10,1.112,124.737
264030,Rinjani,16226,2004,10,-8.42,116.47
321050,St. Helens,20560,2004,10,46.2,-122.18
257050,Lopevi,15319,2004,9,-16.507,168.346
300260,Klyuchevskoy,19481,2004,9,56.056,160.642
211060,Etna,13846,2004,9,37.748,14.999
283110,Asamayama,17810,2004,9,36.406,138.523
261140,Marapi,15479,2004,8,-0.38,100.474
357120,Villarrica,12181,2004,8,-39.42,-71.93
386011,Nightingale Island,13145,2004,7,-37.42,-12.48
290260,Chirinkotan,18830,2004,7,48.98,153.48
342110,Pacaya,19887,2004,7,14.382,-90.601
351080,Galeras,11377,2004,7,1.22,-77.37
311161,Korovin,19766,2004,7,52.381,-174.166
264160,Egon,16276,2004,7,-8.676,122.455
234070,Marion Island,14414,2004,6,-46.9,37.75
261170,Kerinci,15529,2004,6,-1.697,101.264
